상풍명,가격,배송비,url
애플 Apple 아이폰 16e 128GB 미개봉 새제품,"440,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=w4FpK1Kg8av0TX6iUm29pf%2F%2F%2Fw%3D%3DsXthpJi7kf1hHNI7cw8afGyxZcvrUPzk97ASbS4kXSCByoYErd7Wx1dfdVO6hh7qVBegeM42xWRui0GFlRru%2BTsKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojoFfwjIvfbkxdIJjq%2FnXNdXrI5q9fylU5fCxUOsQ4I%2BCuk8s7U6NFUyYCzOVHyPDVyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF36a1IbrOU94c1aiygYUf%2Bvms8WWmYdMoYTOn4PiucTQSGHDvsGQoUHd%2FG2Ez5s1IA%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSepDyFeMNNrrCkB3ivFev2YcmNH%2BPFDjBB1byq6tUiCjfzjjcPhnQ4aXZmKCZFjijQvZ%2BpBOEyE%2FWx9XZ4JVM%2FaRUNyfvfRE1%2FzLQxI1QoU3OJ1tuPkPKuxIgrCqqSAI38xQiS3kzTIiKXXe9kzJ1BUenOiKsDZyEEzm%2FJkI2uNQQR4j0smO0Hm7wdikDjKwPQw92rF37y8wl34HrXApdxkodoQdD7z4VTZnGHOZl9gKWJn560zP8fVH%2FGMqfM26WJqCrEiCDWjrrYaXvEYdsHlv7sZsPeuNeC6QUM%2Frjp%2Bg5bOJzrD2qBjhDwpFFYJU72SSIsY3wJd%2BboaTNLJqsbq5jtEEnHZo%2B%2FVuCJHvsmHjrDVCYCaeglF2rgr1u2OQIzQ%3D%3D&nvMid=89877627274&catId=50001519
아이폰 17e 256GB [자급제],"최저990,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=lOrIORLRwm8PITaMtWk3t%2F%2F%2F%2Fw%3D%3Dshh4GSOFt9%2BZUp0VHqkpadAvFoWFdAL1nEJjVsXJuLCLxTAJR5s3V3RheLYZrm3hTNzeFLOoMcMp9aEv7SvHsMmg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUVSbAdTnhZRf4CnbnqA5%2BeN%2BO3kUttIBIAq0ijiLrLQviGr%2BCSEWt4WvAwh0KiGQ3334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMu2J2cmJGDnOTQy7V0rAAlZY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpG1%2FTl%2FSXGqxicgPtSywPelCUihK8pMD9%2B%2FGfueoJU%2FPKTq%2FbD2MGowZHhNOyBhpCeUgj7JhipZW7dJJfFyMQl03xBWEf%2F8HAYJmBjCA4DK8dRC%2BzwYer6Ps69Q2%2FK%2BLLGcqtSHxiSk5V1JJUTbNiLgRYxPz57s0p1wnuHz04%2BVoo55rlvTGSd04gm3LTUFqprFTSGC%2BVBFxHOHAR3iFjMhBHS7iYdd4BTrgASNQmm8sLPU1gfxG3PH6iFw%2B1YUjCLO34BdgF30dIacnqop2cMt4bP94xJjwLNehMIL9M5BfkRuGIQAHXip4b9cLKj3lT1%2BVVIuM9uG5CmtGuRfMayVJc9LluJlceg412w2vptUro6%2F74bs%2FzNmznhIO5N5zjWyWdk6Rh1eiEFF7nSHwjL1l13JNXbWV6PsRpEB8CiWRctVYavx%2B%2B8fWZa9SBc8rqM%3D&nvMid=59125506333&catId=50001519
"애플 아이폰13미니 공기계 휴대폰 IPHONE13 MINI 256GB,알뜰폰","354,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=TVJW3JKPPswhAXZfP0Abcv%2F%2F%2Fw%3D%3DsmY1MuGAI0V75fn2U8DVrkUSkeg3BY9LrJLkk70VtVfbxTAJR5s3V3RheLYZrm3hTGLHg%2BXbMP3UwJPC5urDr2Gg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUVSbAdTnhZRf4CnbnqA5%2BeN%2BO3kUttIBIAq0ijiLrLQviGr%2BCSEWt4WvAwh0KiGQ3RrGKeD3WEVFphi0HowZtxVK0PNA6Pr%2FiNDHHLz5Ow077iXAd9EDDoQh3ecHq7iVdWo3A6OkPv3S97qdiBEVJxTSqjPiTd4eoEouLn9J3El1xTS8vVm9ENLBGG%2FECaJ3nTPQvbixHQtO82wa3hWoPeAczWY69eYPb0I4APqa03aWKsGx4y%2BZKI5dDcHPOiX4oRjORd9xFMt3Ij24KPblR%2BAeL8mDjug0MMBKQwp4NOEHBz7%2BORHa%2BX777%2F5U82WuF33UnQliMvAyudtxLc72ZUxqBINFFiuwuwbab5pO%2Bjn9drU9gBvTOY8XVxGgpGxxd2YxKyH%2BD%2F0Zv8r75v30Dkrc309dNYVswcZEcr9fsFHKswq3MvtWZxAD9KX%2BNo3Se3yVq7pFj6AfpEt2yyY6CqfhohWtl8Syxr%2FkMz1F1OV10Iyl8uJs8njEdOVYO%2BPweXzLwmHCRhq3x%2FGY6HX1I050wt2xwxcug19FOUjxM%2FxxEpec0P6oubvRxd5MV9Tpd3Aj%2BVHP34zNmVqM9mewB32wWw3lNukwfUNv4HuclQvwphM4Xkqwer6KAYBzWkB5n27A%2Fy9Wcz7EU72Pz6EEGPaCmk1hTL%2FKKhKRGZYJRt2Lzp644WWpjEZbfG2bPvrGxDVCYCaeglF2rgr1u2OQIzQ%3D%3D&nvMid=46564050182&catId=50000249
아이폰 17 512GB [자급제],"최저1,526,400원",배송비무료,https://cr.shopping.naver.com/adcr?x=dGB3eCFKiMiqrpeRVA7Ogf%2F%2F%2Fw%3D%3Ds8QY6Od607nHyDLoCOvxsOjxMOpSPuGrzOteiSGjFHsoAjU5j3gjlMYsRq8%2BGHFpS5iZwI%2B07b5E9%2BDUK78r7mzXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVECs7Hq1ptkJz%2BEOEmjZpZEsFIPfQ%2FxdBq1VsidKXQ2O3pVqx8a7y1UG0HRU%2FVjQk2h%2FqNbmMd3P9tE5jamCbKQuIB8ncdehaYvLTVmrbJlEb4AmSOzqUyzzvb5VZYY6%2BCb3k2P9GsyYcLETHoLzpIeE8YCiibN06F7pXXqOPTLDu2BDvBMTXoZ9N9JaKSMlk2%2BhJVeyKi%2FEM2JBxjjb5LVVd6Z%2BmZ5fvTALbBBPmfKLmnGLANk9TjQtjOEdf9xG%2FWRPvZpjUyv5eZvKGp9GDuT1nRJ4yoQ1ByXgZXYF4asUr3wpohlrhUETRXnCpgZJOsOI0h0KDaq%2FaxBeI7gvVHc8Zsp9fdmBRjIt0%2Fxd7Y3WcqM9iWzo6PU6HPTVexjIWCncaZkfznvYQEYMQuepE3X2Ovx4101g2w8z28edJMlERfydOXnvGOlZKTzJznhI%2FIuR0q84YQjjFrl3Wcbxl799ZmnIP3yje47gOwu31c3Cvf%2F4U7wEWiLgJgvP2PgnF2Ek69TeK0hZi0GgpCQXGoZ1KU85kE3pXnhNMvq7%2FMWxUEmkoKXv0x%2BGEpKkWPtFyhAhQPRyH63y9CmZhLbMHNlaFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=56642218976&catId=50001519
Apple 정품 아이폰 16 자급제,"1,150,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=7IXIaFnPVuvAwA1HuDHCqv%2F%2F%2Fw%3D%3DskF5iyvq66ASvIpcbcPawNc9rD7YZP%2FQh7Qz039mlFBVyoYErd7Wx1dfdVO6hh7qViSr%2B8CfHoTb2nwVGXZkz5cKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojoFfwjIvfbkxdIJjq%2FnXNdXrI5q9fylU5fCxUOsQ4I%2BCuk8s7U6NFUyYCzOVHyPDV49gWwo4YAEWGPlnOMWQUB4qPKnSzTV71gbnTAjWaxQ%2FVXbnm%2BnwcWedO6RdcKQlz04PiKfdXpFTjMpWBt9zZ2mP%2Bv2q8waYYGpwT9eXccY6uAoMerSmE7FU8igD5uoN0MYHcLoqb%2Fr6oOcDNJ16biMbTxAJTjZlykDm%2BtSsshRWZQqRhCsri8hpH3OfQx5F%2B3dPAU3HJeFGjd7KOzN1XZo0RADWpHbCwemGQj7v%2Bj77DpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqi17pCT8v47X%2Fd3GA2VxeU4VmlmJE4%2B8afSr8xs%2B%2FmXoG1fUqIZ7CTqeNBeEUiuIjbVrhcIjK%2FyMdS%2B%2FohCHSTL5Bpk2Bgkccp4gjyF9C3Bphgm%2FQtyACyHkeSauvkvFqc3zVaNSnElUms3mYOzPgGkbEf4FfFXKxRBjJgs6NFlJNzlAkNmzaL1OIdSUz2EuTh6709K9VhlE8zDnmKN1ue%2BCc%2Bbj9x%2FByzfX9gQ0MhkpHjX7BAEJw4PkybPL6EEVpMKR3YKlD9qGAl6gX9HvZO5QAa1WfKp95YNjcIK2e0TcDrRBst0Boz6XVp3uv8uCq1dznR4EhPC6BI08fc6TT2xWkbDrUFJ2hBG8QaB8WVzn&nvMid=55291676020&catId=50001519
아이폰 17 프로 256GB [자급제],"최저1,790,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=yHgM%2Bh%2FY7qdQo8pWefSwEf%2F%2F%2Fw%3D%3DsbHxDDH7BAt%2BoarxF1I5e8OtzD8yMnUuNlRVRULQvGCVyoYErd7Wx1dfdVO6hh7qVBfoC5rJxKjVPrg5RYX6cWcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojoFfwjIvfbkxdIJjq%2FnXNdXrI5q9fylU5fCxUOsQ4I%2BCuk8s7U6NFUyYCzOVHyPDVhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9DdhAl%2BI7modr4PZWu325tUIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VGdLIrTrbNQHj5YcvwFcxUkErLcuhiXatVqO87FsX2HsLngnxQ7ssMZd09T0OjyjIxearTBvydD1LUI3JWpCADILkaGAE1jUCYVbRviejGz%2BBWNAKkiTmTHiwlbaGtF%2BcqDNEZAypcFY1Z5QAtH0i5KUsAWLucflc24575HV3PS4MY9vrnhg9Ffzg5vQD3NezUFfVYy52PUzSQXgfVXla9hmc2cg3xqNUkKGEb1xg81nSQ52L6X8%2FofmesFc9yiVF7k6fa11MuGJs8OlARnX8kjD1S%2Fv65eTyz17SNJGj%2FD5MP%2B3zTe6vZE%2FEGHYiCY25bSbSQZa3y0goVMiku1ZN8%2FSYqZgVsHN77mgZpHxjdgpMLSGId%2BZ%2FOYAjRfVwLnTYp%2B20UPz5pE6meqerLXJCYcdtjw7VLddMzVagZxqfHgjYMbnniQl88T5JSn21SbWRMGruH08DlKshetxY8KUEZb&nvMid=56666065238&catId=50001519
SK 기기변경 애플 아이폰17프로 512G / iphone17 Pro,"1,440,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=2vS0J3uKFDeaxS%2Bt87GEof%2F%2F%2Fw%3D%3Ds2svI8TNT83AVVnCVS5ldvly%2BPXo1Q7NCm02kp9FT0KPxTAJR5s3V3RheLYZrm3hTWmkPu%2BrTkcEUJCgL6fGYgGg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUVSbAdTnhZRf4CnbnqA5%2BeN%2BO3kUttIBIAq0ijiLrLQviGr%2BCSEWt4WvAwh0KiGQ32qqp1XNIAFe3%2Fk5gPxIsHLL7oh4VZdlChKy1%2Boh76B2S7FN4peW5t0CB9uPtn3EwHcVl7mMylRVjy32mkTPV0V70n2KOjH7JDLZMTZ%2Fl2BgxaK3%2BJxlID8Ir%2Bd7frZZqgGwmPNX%2Fe%2BXkuZ30duRQYj%2FN1gL%2FBgCKENDMCz1nm%2F1Aue6eHmmYNimqJz%2BrhsL8oskretPe2dPq2bS6lPMhCtCSaaxEY9oTEZcF5ABVwDT2fqQThMhP1sfV2eCVTP2kVDcn730RNf8y0MSNUKFNzk8YccvRhmx7aIYtfy9On5bfU4ewiF6bezRZ96%2FV%2F1OYJFqz69jtpz1NZz49n4IQ1mZTzQm%2FJCTPv1HJ4ZwU%2BN9eS%2BW0AbFWQTmREHEGFb5oDIpA5IHCXv5%2BAfZonltQyZooE3Yx0CUyJ9lxecxXljRoovy19FhdwCa2ySESacNio64FkP9CQbIx7neKc6OctVxaIX2Dp8R%2FApOCeHaEyT9y8Ra1f7prkupkc%2F0Gif3ShDEIIy7y5qjAc0pD51rIER0cjwVm1BUYVknE7IEMpz4%3D&nvMid=57170283301&catId=50000246
아이폰 17 256GB [자급제],"최저1,237,980원",배송비무료,https://cr.shopping.naver.com/adcr?x=NdeDJzAaxst00IA0O%2BUVUf%2F%2F%2Fw%3D%3Dsc3lPndn7cynVtSnuSKLmi2enC8F4NU%2F8fm1d42LLuxJyoYErd7Wx1dfdVO6hh7qVCb%2BfER5hfOJL%2FLZVBSPeosKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojoFfwjIvfbkxdIJjq%2FnXNdXrI5q9fylU5fCxUOsQ4I%2BCuk8s7U6NFUyYCzOVHyPDVhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9BF4SUFdYsHJqKAQaKySmwjIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VGdLIrTrbNQHj5YcvwFcxUkErLcuhiXatVqO87FsX2HsLngnxQ7ssMZd09T0OjyjIxearTBvydD1LUI3JWpCADIcBesq0VrYSSjvxqie2lqFxWNAKkiTmTHiwlbaGtF%2BcqDNEZAypcFY1Z5QAtH0i5KUsAWLucflc24575HV3PS4MY9vrnhg9Ffzg5vQD3NezVrMSHuIXInzhm%2B12GaWjeJmc2cg3xqNUkKGEb1xg81nSQ52L6X8%2FofmesFc9yiVF4CcGPRgRu944fEGBUKscsh1hw8JkmzcBOBqeJco1ckkUk8%2B%2Bs0dmHMtRUevyyTruGl86dhfTYI4gAvivXvgwAQZem112q%2ByIpQmYPf3Z2Rh2JxyHBE3CYnzhPLG%2BOCDMWKOKS4uJK7u5Zcz%2BvVRDO62agD5z5n1OlA5dvMV8AnAMcgIRCk8vtGb7Z%2FKGMSEdE%3D&nvMid=56666632837&catId=50001519
Apple 아이폰 17 프로 자급제 256GB - 실버 MG8G4KH/A,"1,790,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=RlHyoIQRQvk%2BNZhrPi8rcv%2F%2F%2Fw%3D%3Ds2fJpL%2FweWI8tGOrPmChJNab456J77sEu%2FUINwPx1OLtyoYErd7Wx1dfdVO6hh7qV1T6t922Xa8TfuZBCsu2c4MKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojoFfwjIvfbkxdIJjq%2FnXNdXrI5q9fylU5fCxUOsQ4I%2BCuk8s7U6NFUyYCzOVHyPDV2VNqRRUOojs5WUX%2F32yb5RUWkZ5On5BVeI8cTEGmUZvnx8Aid%2BWslEVnY5aE%2BDqCXKZCv1TI3VO3ykBR859%2F1rt%2BCGdxkcJBKYAQS0VI%2BE0hluH2kw5IEIAuXNnO13ke04kOs4eSY0WncLq1f%2B0if%2FOlIutnUpvB%2F6qNTiqijLUwJs5DruoKSllcdjqO823QbP4DNlCMvOS%2FZ27QlxXlwLVnc7wcdqfCv3q5loMbcZIHs%2F2PHkpmvWjL2qy1nHubO4bTX6dKna05%2FShZmsoNUE1hNnOU%2BEB3IROy6%2B6qKf3HvY%2FUzN94OzIr5wG3PfiAX5BUVVdkrY3zQ9HOtfA2xIToHpwQWwXk6gKyRincQPW0IGFuDNu8t4pwcMHNIrlSU7vOXGPIcQ4X8yY9dw%2BFcRTQpi83rmrVnNWIL5ldDdQlZM%2BTMteHR67IoRXmEwivn43M5DwnLgkXWjzDeX9AczreL3EWykBiqqvWT1Cui6zVScUbvnLE4FjLuJOhNGJSKSc%2Bpq15zJkdlQSUm5u294UkfJC17f%2FlHIFYMw5%2BGq7L07boOLwoxL6IajskM%2BfZHduwDi0dFWtsMHZFRkMZyB9JMvxn37pW8KhEeoFQC2poaKZHilHbuauHUigNM5KA&nvMid=59278488268&catId=50001519
Apple 아이폰17프로맥스 512GB Apple 미개봉 새상품,"1,160,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=wYP7hK2ETelc%2FvK35vEO8P%2F%2F%2Fw%3D%3DsPMdR94zKGpBw4WHrDPNGAbS8eic9ODrjp6F1YDPUs9VyoYErd7Wx1dfdVO6hh7qVev0gl9Q9DGOeZBfD3tozLMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojoFfwjIvfbkxdIJjq%2FnXNdXrI5q9fylU5fCxUOsQ4I%2BCuk8s7U6NFUyYCzOVHyPDVyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF2EaqFhIsapuPwUapBxsGLMms8WWmYdMoYTOn4PiucTQSGHDvsGQoUHd%2FG2Ez5s1IA%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSekSM6HyAN7bTB5bAohCH8peWw9tvwlJa%2FoMgVO6CgPqczjjcPhnQ4aXZmKCZFjijQvZ%2BpBOEyE%2FWx9XZ4JVM%2FaRUNyfvfRE1%2FzLQxI1QoU3OaMqfq%2FGxXTss9MqwKuPq%2B0tB7vhOx0nxSI7ZizhQJ8uahrOrX0F%2F0%2FD9HtVMvXe83rpZfta5C5%2FFyIZ15zB6YHf5yKBm%2Fkwo27nAkv88TTvlrWJaEAsyBxB%2FVyTfQsiSSThhJFcfr6JvbpOrHuGjwnjkrJPHMeXCnHKyo9vv%2Fxk2IWAinpDwg720zBf8CUKXuII1RKBXV0cjxJxT3gVnF2wz6x1m%2B6KezWr2a%2FFm9DCWYWJLXvWByRblPQV7PQ2uV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=90912314913&catId=50001519
해외아이폰5C 풀박스 공기계 무음 카메라 8GB 5C,"79,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=DOJ5fIIzwa4lseM2dq3QH%2F%2F%2F%2Fw%3D%3Dsp85m9cZF2PQzm4uWvqwbL5%2Fw8LX4VDbxoBkd8CCBoOhyoYErd7Wx1dfdVO6hh7qVesDPhUFDfRkZ0ORWO%2FKX1MKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojoFfwjIvfbkxdIJjq%2FnXNdXrI5q9fylU5fCxUOsQ4I%2BCuk8s7U6NFUyYCzOVHyPDVyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1FBMPMWMXyUpL83uIawUnTms8WWmYdMoYTOn4PiucTQSGHDvsGQoUHd%2FG2Ez5s1IA%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSegSQxoyE864ctmSdWmeEq9%2FpOoKhh6PY8epargmiK1u%2BA%2Fr3XBm%2F3nNwAzAruqK5evZ%2BpBOEyE%2FWx9XZ4JVM%2FaRUNyfvfRE1%2FzLQxI1QoU3OZ0nJ%2F8lb5%2FTPK9TouohdnhQiS3kzTIiKXXe9kzJ1BUfridZ8PnrUUxW93Ie4%2B7OZB2iVGBwN0SXS0hD6F0BPe5YCK7j5HUbOYW6H2qwf0bV7PXqCYnKl2YzF5wEMXgOgZWhIZhzJ%2F85M9aJJbOji48%2Fhjd481luZaLEn6IB5tOVZ8CzcwGOWDGOfAtvAjEfai4%2F0xPHGBAN2hdluqs5D%2Bspehgm0M89Q4pt3G0a0gwpkpn5K1vxBXGP6pttovWXtHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=90749142379&catId=50000249
아이폰 17 256GB Apple 미개봉 새상품,"490,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=SELwAv0dlhoDsBOpCKuGrf%2F%2F%2Fw%3D%3DsxTvga%2BHeWPKXLoZstu0infhbDblaLPK6S39Hgcn%2BMBcAjU5j3gjlMYsRq8%2BGHFpS%2FllMMR4%2BKBCPMC1%2FU3LinjXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVECs7Hq1ptkJz%2BEOEmjZpZEsFIPfQ%2FxdBq1VsidKXQ2O3pVqx8a7y1UG0HRU%2FVjQkhNAWEw0JCsb7LJXBJqKWV9015zgK%2BP5r4ZCysDfiDpXy2kFS%2BiNHW5BLmb89Vp1cdIFQtrJOtlfE0hWsZ5nHsDForf4nGUgPwiv53t%2BtlmqAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FT4hYShbcjbGtZE6QP%2FJUf6TlNELNANZmkmrlg3Lm2dkDG4evy%2BM13j64UYOnhTyGWVhYmYgjlPsRq46KjM0jHOYHF6FUFDXJWjFuX3G1juVWKMNu2MuphAV%2FByR6raxurL%2BD79JFqXUHChswIKAa5fMbJ9PZC9vvrTcGHwDITQdNMoGfc3QDJAwB3W6Zgk1WKuEtlMmEp0kJY%2ByUzOAG2QL6nrfebnckJCqgqS%2F1UnItFgCrG%2BOxU1kZ%2BlEAYMZ76OuBZD%2FQkGyMe53inOjnLX6b7RmamUtuHjmGXPs7f6Q2x%2Fw9CcPT1DMa1oXfI7sH1Q2WysbeFGhmvQVGxnrXPRXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=90305072272&catId=50001519
Apple 아이폰 16프로 512GB Apple 미개봉 새상품,"890,000원",배송비무료,https://cr.shopping.naver.com/adcr?x=Gjou52yRwddMU8OCS2xJjf%2F%2F%2Fw%3D%3DsEpt1sd74tCXC1y%2B1pCrV7E6ID87z7k%2BmlzRnUGQzsJVyoYErd7Wx1dfdVO6hh7qV8TBJXVXO3%2BmgQYz4%2BFqgHcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojoFfwjIvfbkxdIJjq%2FnXNdXrI5q9fylU5fCxUOsQ4I%2BCuk8s7U6NFUyYCzOVHyPDVyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF3yZl4%2BvXjHZJdHGiIDuNuLms8WWmYdMoYTOn4PiucTQSGHDvsGQoUHd%2FG2Ez5s1IA%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSeh%2BfznAfUU4MDEvmB%2F0tIfS1AQ5w7KG91xGrHuttUb0szjjcPhnQ4aXZmKCZFjijQvZ%2BpBOEyE%2FWx9XZ4JVM%2FaRUNyfvfRE1%2FzLQxI1QoU3OokZFaxGpN6FjG4SLxeTaMUtB7vhOx0nxSI7ZizhQJ8uN4%2FbarDGulZ7nI%2BlTukuY45pWDmDq0hFGOcp%2BVw5hFmacJXdKOtvugXlwCoGsXkg7pQVzBu1lVDTRj7Meeu%2BXlFuevu11Kauhi0dBso5sy2qbH7z50I%2FWpe9%2B4Php6ssP7UbNjIJABWwM7q6UxJuW0lBN3yd4o0LPx5DcVO5%2FLltNv8zJraaZHiWBp4PNEaGfVqJ21m9EWzmZTTRJiv1LDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=90886769996&catId=50001519
